Arnold Press,Strength,shoulders,10,3
Back Extension,Strength,back,15,3
Back Squat,Unknown,Unknown,10,5
Band Pull Apart,Endurance,back,20,3
Barbell Curl,Hypertrophy,biceps,10,3
Battle Rope Slams,Endurance,full body,20,3
Battle Ropes,Endurance,biceps,30,3
Bear Crawl,Endurance,full body,15,3
Bench Press,Strength,chest,8,4
Bent Over Row,Strength,back,10,3
Bicep Curls,Hypertrophy,biceps,12,3
Bicycle Crunches,Endurance,core,20,3
Bodyweight Circuit,Endurance,full body,20,3
Box Jumps,Endurance,legs,20,3
Burpees,Endurance,full body,20,3
Cable Crossover,Hypertrophy,chest,12,3
Cable Curls,Hypertrophy,biceps,15,3
Cable Rope Tricep Pushdown,Hypertrophy,triceps,12,3
Cable Row,Strength,back,12,3
Calf Raise,Strength,legs,15,3
Chest Dip,Strength,chest,10,3
Chest Fly,Hypertrophy,chest,12,3
Chest Press Machine,Strength,chest,8,4
Chest Squeeze Push-Up,Endurance,chest,15,3
Clean and Jerk,Unknown,Unknown,6,5
Clean and Press,Strength,full body,8,4
Close-Grip Bench Press,Strength,triceps,8,4
Close-Grip Push-Ups,Endurance,triceps,15,3
Concentration Curls,Hypertrophy,biceps,12,3
Decline Bench Press,Strength,chest,8,4
Double Unders,Unknown,Unknown,50,3
Dumbbell Bench Press,Strength,chest,8,4
Dumbbell Fly,Hypertrophy,chest,12,3
Dumbbell Shoulder Press,Strength,shoulders,10,3
Dumbbell Snatch,Strength,full body,12,3
Face Pull,Unknown,Unknown,12,3
tralaleo,tralala,hehe,3,3
